Date,transect,water_temp,SAL,TNW,TNF,TPW,TPF,POP,NHN,NNN,CHEM,TOC,DOC,POC
04/14/1981,TC,19.0,35.0,34.5,41.0,1.4,0.6,0.102,0.0,0.06,125,2.8,3.4,0.8
04/14/1981,OL,17.0,37.0,56.7,39.7,3.6,0.9,0.214,0.0,0.04,127,4.3,5.4,0.8
04/15/1981,TC,18.5,36.0,42.8,31.4,1.8,0.8,0.257,0.0,0.19,128,4.0,4.3,0.8
04/15/1981,CB,18.5,36.0,37.5,40.5,1.6,1.1,0.297,0.0,0.18,129,3.3,5.0,1.5
04/15/1981,OL,17.0,36.0,56.9,48.8,4.7,2.9,0.215,0.0,0.03,130,5.0,6.9,3.1
04/16/1981,TC,16.5,36.0,33.4,25.3,1.3,0.4,0.052,0.0,0.0,131,2.4,4.4,1.7
04/16/1981,CB,17.0,36.0,37.2,31.9,1.3,0.9,0.125,0.0,0.03,132,2.4,3.7,1.3
04/16/1981,OL,17.0,36.0,47.4,64.2,2.1,1.7,0.157,0.0,0.03,133,3.5,4.7,2.4
04/17/1981,TC,18.0,35.0,35.2,35.4,1.4,0.7,0.053,0.0,0.02,134,2.1,3.9,1.8
04/17/1981,CB,19.0,36.0,41.5,32.2,1.5,0.7,0.151,0.0,0.14,135,2.6,3.9,1.7
04/17/1981,OL,18.0,36.0,48.8,41.3,2.1,1.1,0.192,0.0,0.04,136,3.3,4.9,2.0
04/20/1981,CB,20.0,36.0,33.2,53.1,1.2,0.6,0.088,0.0,0.12,140,2.1,3.9,1.3
04/20/1981,OL,20.0,36.0,37.3,41.5,1.3,0.6,0.14,0.0,0.09,141,2.7,3.7,1.0
04/21/1981,TC,18.0,36.0,46.8,48.7,2.6,0.3,0.0,0.0,0.05,142,2.6,5.2,2.8
04/21/1981,CB,18.0,35.0,42.0,35.4,1.7,0.5,0.0,0.0,0.11,143,2.2,4.1,2.0
04/21/1981,OL,17.0,35.0,45.5,42.3,1.7,0.7,0.068,0.0,0.14,144,2.7,4.3,2.1
04/22/1981,TC,18.5,36.0,33.7,22.8,1.7,0.3,0.029,0.2,0.03,145,1.9,4.3,1.2
04/22/1981,CB,18.0,35.0,31.4,26.1,1.2,0.4,0.043,0.0,0.06,146,2.4,3.7,1.6
04/22/1981,OL,16.0,35.0,26.2,33.8,1.6,0.6,0.124,0.0,0.24,147,2.5,3.1,2.0
04/23/1981,TC,19.0,36.0,32.4,24.5,1.3,0.3,0.0,0.0,0.03,148,1.9,3.6,1.5
04/23/1981,CB,19.0,36.0,25.8,25.5,0.8,0.4,0.063,0.0,0.07,149,2.3,3.4,1.0
04/23/1981,OL,18.5,35.0,36.0,43.1,2.7,1.5,0.162,0.6,0.37,150,2.5,4.2,1.4
04/24/1981,TC,20.0,36.0,29.9,25.8,1.4,0.2,0.0,0.0,0.1,151,1.9,3.9,2.3
04/24/1981,CB,21.0,35.0,29.9,26.7,1.1,0.5,0.1,0.8,0.38,152,2.3,3.4,1.3
04/24/1981,OL,20.0,35.0,39.1,32.9,1.8,0.7,0.168,0.2,0.5,153,3.6,3.8,1.8
04/27/1981,TC,19.8,36.0,29.0,32.1,1.2,0.8,0.2,0.0,0.25,156,3.1,4.5,1.3
04/27/1981,CB,20.0,36.0,33.3,28.1,1.5,0.6,0.155,0.0,0.21,157,2.2,3.9,1.4
04/28/1981,TC,20.5,36.0,25.5,25.3,1.2,0.7,0.078,0.0,0.15,159,2.5,3.5,1.0
04/28/1981,CB,21.0,36.0,36.6,28.1,1.6,0.9,0.194,2.2,0.29,160,3.1,4.0,1.8
04/28/1981,OL,21.0,37.0,52.9,39.3,2.6,1.2,0.34,0.4,0.35,161,4.7,4.4,1.6
04/29/1981,TC,21.5,37.0,23.3,25.2,1.0,0.8,0.13,0.2,0.12,162,2.7,3.8,1.1
04/29/1981,CB,21.6,37.0,37.1,30.1,1.7,0.8,0.15,0.0,0.17,163,3.7,4.6,1.5
